path,bytes,lines,sha256,lexical_screen,direct_read_lines_union,direct_scope
.cargo/audit.toml,946,20,43144e4d8f5040ce3e00a4b01d6277573c479128fbd0a85875e2ed0dba4e1e17,all lines; not semantic audit,0,not claimed
.config/nextest.toml,978,42,bad1675732748c9d511220732221b9d168d4d9a67b6ac85285e7a300575c887e,all lines; not semantic audit,0,not claimed
.github/actionlint.yaml,906,18,b5dc832b15da38e5b450a744f2243868d7d52f34521b0dc778f2bd75acb30ab5,all lines; not semantic audit,0,not claimed
.github/branch-protection.yml,10815,206,560b1bfa865324f1901c27922c18a2d02375e0fdd765197e3ddaad0a94f407ed,all lines; not semantic audit,0,not claimed
.github/dependabot.yml,692,16,30df45d937eae9fae1aaa19f52e646b124d0968eab9047c60ec0abc741c357b2,all lines; not semantic audit,0,not claimed
.github/scripts/median_baseline.py,2493,70,14cbba4161efe531186ee89ebcf87ff8f186e9f355edef06f97c3424fcf746d3,all lines; not semantic audit,0,not claimed
.github/workflows/batman-mode-acceptance.yml,13544,265,1ce0e8e8afb1b4bd94c5f2b0894b5423ff19ec2f50b4e200af69423d16567e9a,all lines; not semantic audit,0,not claimed
.github/workflows/bench.yml,11013,248,a02a09dffd8df514f2e1db79ec088b20dac3a27aa23aebea4cb320f7b76fa395,all lines; not semantic audit,0,not claimed
.github/workflows/c8-precheck.yml,56889,957,a4eb16bee312a2e99efdc220c8b52742088c50dfc0515f01b43e55f5004c4e67,all lines; not semantic audit,0,not claimed
.github/workflows/cert-postgres-age.yml,24972,408,e5d681f312942f90c82f9f0ccb253e13bf129ee49bf955f9e11b7f87836a499f,all lines; not semantic audit,0,not claimed
.github/workflows/ci.yml,103172,1750,a5d5b67c6a4ae7bfeb7dafc9b36753aa3b5c255f6f92c428ad2f87062d551c03,all lines; not semantic audit,0,not claimed
.github/workflows/clients-ci.yml,5744,146,5a7fe8b2a29d1be883f91844f4c12d97e57d4e37ba808f542c0d13461fbb0763,all lines; not semantic audit,0,not claimed
.github/workflows/coverage.yml,30543,561,bab15d6fb8975c6122887d2b082f9c5b9772391a0cf304b7180192e39ad1788e,all lines; not semantic audit,0,not claimed
.github/workflows/fuzz.yml,1629,50,162bc3bdfd030523a8d7978cd8914729ac64d0eeaeb669060542f5fbba645d57,all lines; not semantic audit,0,not claimed
.github/workflows/mobile-ios-republish.yml,4617,117,5d71f4b0752ae52e664075d2617f64ec97bd477cb90378b8dc5df5c02ab05e2b,all lines; not semantic audit,0,not claimed
.github/workflows/mobile-runtime.yml,16661,360,47447d1584a4a14e659d900940bfaa77cdc1f18455708a6aa7bbfd5ba86d9db0,all lines; not semantic audit,0,not claimed
.github/workflows/postgres-ignored.yml,5470,128,06b888cf4c0986c9de7104f07ac554f78c6b9426d550c3efdac33e548ce329c5,all lines; not semantic audit,0,not claimed
.github/workflows/publish-ci-image.yml,9212,185,20e86242371e348bffd86d57d3739025c388fe2174eff7c94114d5bad937ec61,all lines; not semantic audit,0,not claimed
.github/workflows/publish-sdk-shims.yml,7186,180,27c846c208f02c4ae6e74bc959beeede282c64cedbb6a603ae1a4f518c220be5,all lines; not semantic audit,0,not claimed
.github/workflows/publish-sdks.yml,7412,153,e45e336d29bd6069dc8c9b17acd363c8c70b426fc00b663a8172e643bceb75c7,all lines; not semantic audit,0,not claimed
.github/workflows/release.yml,52244,1152,8e5747859c6c97b40b486b6dd4bb6b5861832c6c8533b524034c2e9160fb4a72,all lines; not semantic audit,1152,full file
.github/workflows/session-boot-lifetime.yml,3567,77,7367eb5b047dfa312f166bc41fe8298ac3b9b63d9c1d4617be62bd0d80055151,all lines; not semantic audit,77,full file
.github/workflows/token-budget.yml,10054,156,920069b475dfde491304ec10f25fdfe6252947041497f9c98e97cfc13ef23a5d,all lines; not semantic audit,0,not claimed
.github/workflows/tool-count-drift.yml,9175,162,e22a21e6f1e38ce2120840d9d69832cc09097d0c3ca5d932d2511dcba9ed9efe,all lines; not semantic audit,0,not claimed
.github/workflows/yank.yml,1648,42,16a7356472d8b3cf336430d0ee2dfc9d6aeec6c254f33c49caed591effb3b689,all lines; not semantic audit,0,not claimed
Cargo.toml,35572,654,5558cc54edce043c8d5c49033381cb0a7d02d7da08833e6fef5caf7e2de289f6,all lines; not semantic audit,0,not claimed
benches/age_vs_cte.rs,25348,655,f8b480d76ed8b813a6de6b2b202cc6cea93ff644714ef3be5cbe4dcc8cf677dd,all lines; not semantic audit,0,not claimed
benches/harness_bench.rs,16557,460,528a26a66d9a1f6c9cef8257449d1794c53b8d4f7241be4b3c590a638e7d819e,all lines; not semantic audit,0,not claimed
benches/hnsw_rebuild_async.rs,5512,148,d2bdc07e3cd7c586620d126aeeabe64ca8f652628de4a7f5d70a7e53725303f2,all lines; not semantic audit,0,not claimed
benches/longmemeval_reflection.rs,5220,134,fd716c374b1d3b2a1bec711c47bb1c728966cd9fa8dd704cacb4ba49253ca7b7,all lines; not semantic audit,0,not claimed
benches/recall.rs,6480,225,2b72cef8a063cea9279455ab1727d82d0f577504495e67d5192f10ea317fc3ff,all lines; not semantic audit,0,not claimed
benches/reflect.rs,5297,127,8f5c3d2a781369c112831cf1d4335d9b50f46cd0b203a250710b486a801b4a92,all lines; not semantic audit,0,not claimed
benches/reranker_throughput.rs,7713,204,53121e43e493b8c35720a7ef0aac7c35926bcfd0b573b2689eedd7593296489a,all lines; not semantic audit,0,not claimed
benchmarks/competitive-benchmarks/harness.sh,4543,128,56045723de26951593e8290e40fc32b160ab7449842d3420239792cc68e19813,all lines; not semantic audit,0,not claimed
benchmarks/longmemeval/harness.py,14710,392,0a408bb15a5e9a06e77349dab494b79fa01ae93d6798bea8a0567cdc6672b64d,all lines; not semantic audit,0,not claimed
benchmarks/longmemeval/harness_99.py,13446,353,fdfbd18cd0e6999b8510d8692600b816d633380a946af2924aeaad640e43646c,all lines; not semantic audit,0,not claimed
benchmarks/longmemeval/harness_blazing.py,15230,415,8e0b2aff2ed134ab30b5f9dc91f39ba06e405410baa68e5fb68194fcb4f151bd,all lines; not semantic audit,0,not claimed
benchmarks/longmemeval/harness_fast.py,16355,461,992f66b9bc354adadbd55db66aa070a7d43f59a8886ed2dc6ed289100042831e,all lines; not semantic audit,0,not claimed
benchmarks/longmemeval/run_variants.sh,9554,251,db54d370553a219de2aad1765feb891b005e727ed0f9ccdcd0be11f9e40df1ab,all lines; not semantic audit,0,not claimed
benchmarks/longmemeval_reflection/dataset.rs,15697,355,f07b89c6da19a3820d91237243f053577af2dda7beda953e4602013f9e8825a8,all lines; not semantic audit,0,not claimed
benchmarks/longmemeval_reflection/runner.rs,36056,915,b6e63704daf646ab3c487cd6a7e6ebfe5b227281e752a6287ca74ffc3a7c5c9b,all lines; not semantic audit,0,not claimed
cbindgen.toml,4004,84,0937da1afced686c03c61420aa570dde320c624092800b913e46fca17ae4c7b9,all lines; not semantic audit,0,not claimed
clients/anthropic-shim-py/ai_memory_anthropic_shim/__init__.py,991,30,82057c6a50b8dd1449db61c310870a7b09b0d639251be195d260972ba478e0e3,all lines; not semantic audit,0,not claimed
